datum,ervaring,geslacht,gewichtsklasse,ploeg,naam,zone,trainingype,500_split,aantal_intervallen,intervaltype,interval_afstand,interval_tijd,interval_nummer,rust,machine,spm,2k tijd,2k datum
06-10-2021,1,M,Z,MGH,z48,ED,3x20',,3,tijd,,1200,1,,ergometer,20,6:34.1,11-12-2021
06-10-2021,1,M,Z,MGH,z48,ED,3x20',,3,tijd,,1200,2,,ergometer,20,6:34.1,11-12-2021
06-10-2021,1,M,Z,MGH,z48,ED,3x20',,3,tijd,,1200,3,,ergometer,20,6:34.1,11-12-2021
06-10-2021,1,M,Z,MGH,z5,ED,3x20',1:50.1,3,tijd,,1200,1,,ergometer,20,6:11.8,11-12-2021
06-10-2021,1,M,Z,MGH,z5,ED,3x20',1:54.3,3,tijd,,1200,2,,ergometer,20,6:11.8,11-12-2021
06-10-2021,1,M,Z,MGH,z5,ED,3x20',1:54.4,3,tijd,,1200,3,,ergometer,20,6:11.8,11-12-2021
06-10-2021,1,M,Z,MGH,z6,ED,3x20',,3,tijd,,1200,1,,ergometer,20,6:29.4,11-12-2021
06-10-2021,1,M,Z,MGH,z6,ED,3x20',,3,tijd,,1200,2,,ergometer,20,6:29.4,11-12-2021
06-10-2021,1,M,Z,MGH,z6,ED,3x20',,3,tijd,,1200,3,,ergometer,20,6:29.4,11-12-2021
,,,,,,,,,,,,,,,,,,
09-10-2021,1,M,Z,MGH,z4,I,6000m,1:44.7,1,afstand,6000,,1,,ergometer,vrij,6:21.6,11-12-2021
09-10-2021,1,M,Z,MGH,z3,I,6000m,1:46.9,1,afstand,6000,,1,,ergometer,vrij,6:30.4,11-12-2021
09-10-2021,1,M,Z,MGH,z7,I,6000m,,1,afstand,6000,,1,,ergometer,vrij,,11-12-2021
09-10-2021,1,M,Z,MGH,z48,I,6000m,1:46.8,1,afstand,6000,,1,,ergometer,vrij,6:34.1,11-12-2021
09-10-2021,1,M,Z,MGH,z5,I,6000m,1:42.1,1,afstand,6000,,1,,ergometer,vrij,6:11.8,11-12-2021
09-10-2021,1,M,Z,MGH,z6,I,6000m,,1,afstand,6000,,1,,ergometer,vrij,6:29.4,11-12-2021
,,,,,,,,,,,,,,,,,,
13-10-2021,1,M,Z,MGH,z4,I,3x2000m/5'r,,3,afstand,2000,,1,300,ergometer,24-26-28-30,6:21.6,11-12-2021
13-10-2021,1,M,Z,MGH,z4,I,3x2000m/5'r,,3,afstand,2000,,2,300,ergometer,24-26-28-30,6:21.6,11-12-2021
13-10-2021,1,M,Z,MGH,z4,I,3x2000m/5'r,,3,afstand,2000,,3,300,ergometer,24-26-28-30,6:21.6,11-12-2021
13-10-2021,1,M,Z,MGH,z3,I,3x2000m/5'r,1:45.3,3,afstand,2000,,1,300,ergometer,24-26-28-30,6:30.4,11-12-2021
13-10-2021,1,M,Z,MGH,z3,I,3x2000m/5'r,1:44.9,3,afstand,2000,,2,300,ergometer,24-26-28-30,6:30.4,11-12-2021
13-10-2021,1,M,Z,MGH,z3,I,3x2000m/5'r,1:44.7,3,afstand,2000,,3,300,ergometer,24-26-28-30,6:30.4,11-12-2021
